kvrn, kvbb, kvstore, snum, wnum, run_time
4, 1000000, dist_sync, 2, 2, 342
4, 1000000, dist_sync, 2, 5, 290
4, 1000000, dist_sync, 2, 10, 462
4, 1000000, dist_sync, 5, 2, 322
4, 1000000, dist_sync, 5, 5, 207
4, 1000000, dist_sync, 5, 10, 237
4, 1000000, dist_sync, 10, 2, 362
4, 1000000, dist_sync, 10, 5, 238
4, 1000000, dist_sync, 10, 10, 238
4, 1000000, dist_async, 2, 2, 830
4, 1000000, dist_async, 2, 5, 96
4, 1000000, dist_async, 2, 10, 113
4, 1000000, dist_async, 5, 2, 1340
4, 1000000, dist_async, 5, 5, 91
4, 1000000, dist_async, 5, 10, 57
4, 1000000, dist_async, 10, 2, 3699
4, 1000000, dist_async, 10, 5, 195
4, 1000000, dist_async, 10, 10, 60
4, 10000, dist_sync, 2, 2, 330
4, 10000, dist_sync, 2, 5, 287
4, 10000, dist_sync, 2, 10, 465
4, 10000, dist_sync, 5, 2, 322
4, 10000, dist_sync, 5, 5, 212
4, 10000, dist_sync, 5, 10, 237
4, 10000, dist_sync, 10, 2, 363
4, 10000, dist_sync, 10, 5, 234
4, 10000, dist_sync, 10, 10, 226
